    วันที่    ,Institute,Foreign,Retail,Set Index,Set Change
21/7/2026,-327.24,-472.02,534.57,1652.97,6.97
20/7/2026,-280.42,1819.03,-2015.91,1646.00,6.96
17/7/2026,-646.48,5152.86,-4506.38,1639.04,3.75
16/7/2026,158.08,3405.83,-3563.91,1635.29,5.08
15/7/2026,1438.06,978.41,-2416.48,1630.21,4.18
14/7/2026,-3147.28,3991.98,-844.69,1626.03,-1.87
13/7/2026,-860.95,147.83,713.12,1627.90,6.35
10/7/2026,2688.65,2080.73,-4769.38,1621.55,13.25
9/7/2026,-902.79,8634.39,-7731.61,1608.30,32.05
8/7/2026,-4334.36,3225.64,1108.72,1576.25,-27.88
7/7/2026,-5343.80,1054.38,4289.42,1604.13,-12.75
6/7/2026,-1134.62,735.38,399.24,1616.88,5.60
3/7/2026,490.53,5782.12,-6272.65,1611.28,17.72
2/7/2026,-1072.20,8560.06,-7487.86,1593.56,5.33
1/7/2026,-973.58,-1592.02,2565.61,1588.23,-3.01
30/6/2026,234.48,5745.44,-5979.92,1591.24,13.43
29/6/2026,-925.71,7599.48,-6673.77,1577.81,35.47
26/6/2026,-1807.95,1347.18,460.77,1542.34,-16.21
25/6/2026,-1722.70,660.93,1061.77,1558.55,10.33
24/6/2026,825.58,29.07,-854.64,1548.22,7.32
23/6/2026,3591.51,-14809.60,11218.10,1540.90,-33.23
22/6/2026,-2133.44,2567.54,-434.10,1574.13,1.63
19/6/2026,581.15,-3779.01,3197.86,1572.50,-12.56
18/6/2026,385.13,2056.62,-2441.75,1585.06,-2.01
17/6/2026,250.34,933.34,-1183.67,1587.07,-0.98
16/6/2026,1353.01,630.24,-1983.24,1588.05,-3.67
15/6/2026,9418.97,-335.52,-9083.46,1591.72,-0.69
14/6/2026,505.88,4476.90,-4982.78,1592.41,20.09
13/6/2026,-1390.74,-56.37,1447.11,1572.32,8.73
10/6/2026,-1876.68,-1899.87,3776.55,1563.59,-20.55
9/6/2026,-1157.94,-579.32,1737.27,1584.14,22.46
8/6/2026,-3116.11,-3497.90,6614.01,1561.68,-20.92
5/6/2026,-287.79,-1357.06,1644.86,1582.60,-12.19
4/6/2026,600.58,-1473.52,872.94,1594.79,6.73
2/6/2026,574.74,8597.82,-9172.56,1588.06,19.69
29/5/2026,-941.62,-1579.38,2521.00,1568.37,-0.60
28/5/2026,-1544.38,-2209.02,3753.40,1568.97,-1.98
27/5/2026,-1274.70,2597.39,-1322.69,1570.95,17.59
26/5/2026,-349.53,1533.35,-1183.82,1553.36,3.03
25/5/2026,1004.66,-872.92,-131.74,1550.33,11.66
22/5/2026,1024.43,639.66,-1664.10,1538.67,6.00
21/5/2026,2086.14,-3332.91,1246.77,1532.67,4.24
20/5/2026,854.26,-262.48,-591.78,1528.43,11.74
19/5/2026,216.20,-1231.52,1015.32,1516.69,-1.05
18/5/2026,-1615.87,1149.44,466.42,1517.74,-0.21
15/5/2026,-298.69,-728.63,1027.32,1517.95,-21.17
14/5/2026,3059.69,2864.90,-5924.59,1539.12,21.86
13/5/2026,-47.69,3307.63,-3259.95,1517.26,33.70
12/5/2026,-3735.61,1753.44,1982.18,1483.56,-5.73
11/5/2026,-5733.91,1965.12,3768.79,1489.29,-11.07
8/5/2026,-722.15,-1674.76,2396.91,1500.36,-7.17
7/5/2026,28.63,-2703.45,2674.83,1507.53,-9.38
6/5/2026,4182.60,-131.09,-4051.52,1516.91,26.81
5/5/2026,-5180.12,2474.59,2705.53,1490.10,-3.59
30/4/2026,892.14,228.43,-1120.57,1493.69,1.95
29/4/2026,1431.81,2060.53,-3492.34,1491.74,11.54
28/4/2026,155.17,-2062.34,1907.17,1480.20,1.07
27/4/2026,811.41,271.07,-1082.48,1479.13,23.03
24/4/2026,-1374.39,-1301.90,2676.30,1456.10,-5.25
23/4/2026,-3855.82,-3062.59,6918.42,1461.35,-18.39
22/4/2026,-524.42,1836.47,-1312.05,1479.74,-3.76
21/4/2026,2217.37,-2841.87,624.50,1483.50,1.65
20/4/2026,-1654.83,-1789.55,3444.38,1481.85,-0.60
17/4/2026,-1826.36,-4112.11,5938.48,1482.45,-7.28
16/4/2026,-262.00,-3190.95,3452.94,1489.73,-17.11
10/4/2026,-1254.25,1907.35,-653.10,1506.84,17.18
9/4/2026,-2235.57,-19.27,2254.84,1489.66,4.63
8/4/2026,1766.47,2700.20,-4466.67,1485.03,20.60
